Source	Interaction	Arrow	Arrow_Type	Dashes	Color	Target
hsa:5879	activation	True	arrow	False	black	hsa:10458
hsa:1491	reaction	True	arrow	False	blue	C00022
hsa:1432	expression	True	arrow	False	black	hsa:51561
hsa:3663	expression	True	arrow	False	black	hsa:6352
hsa:5566	activation	True	arrow	False	black	hsa:3651
hsa:5578	activation	True	arrow	False	black	hsa:3611
hsa:10488	expression	True	arrow	False	black	hsa:2354
hsa:97	reaction	True	arrow	False	blue	C00033
hsa:3953	activation	True	arrow	False	black	hsa:5465
hsa:112398	missing interaction	True	arrow	True	black	hsa:2034
hsa:5970	binding/association	False	NA	False	black	hsa:5971
hsa:2322	activation	True	arrow	False	black	hsa:2885
hsa:7329	binding/association	False	NA	False	black	hsa:285190
hsa:915	activation	True	arrow	False	black	hsa:4215
hsa:107987478	reaction	True	arrow	False	blue	C16547
hsa:5566	binding/association	False	NA	False	black	hsa:5663
hsa:10891	activation	True	arrow	False	black	hsa:5465
C01346	reaction	True	arrow	False	blue	hsa:1841
hsa:5598	inhibition	True	circle	False	black	hsa:2697
hsa:10488	inhibition	True	circle	False	black	hsa:1387
hsa:6355	activation	True	arrow	False	black	hsa:51554
hsa:53637	activation	True	arrow	False	black	hsa:2770
C02336	reaction	True	arrow	False	blue	hsa:3098
hsa:4780	activation	True	arrow	False	black	hsa:1843
C00899	reaction	True	arrow	False	blue	hsa:157506
hsa:100	reaction	True	arrow	False	blue	C00294
C00388	reaction	True	arrow	False	blue	hsa:26
hsa:1544	reaction	True	arrow	False	blue	C19586
hsa:11186	activation	True	arrow	False	black	hsa:6788
hsa:163688	activation	True	arrow	False	black	hsa:3265
hsa:3265	activation	True	arrow	False	black	hsa:4301
hsa:3175	expression	True	arrow	False	black	hsa:50674
C00187	reaction	True	arrow	False	blue	hsa:1593
hsa:6786	activation	True	arrow	False	black	hsa:84876
hsa:10000	activation	True	arrow	False	black	hsa:329
C19586	reaction	True	arrow	False	blue	hsa:119391
G00157	reaction	True	arrow	False	blue	hsa:26229
C00257	reaction	True	arrow	False	blue	hsa:414328
hsa:5566	activation	True	arrow	False	black	hsa:10681
hsa:6369	activation	True	arrow	False	black	hsa:1232
